Localidad,Total población,pob 0 a 14
Palermo,226534,28827
Caballito,176076,25137
Flores,164310,31963
Recoleta,157932,17403
Balvanera,138926,20341
Almagro,131699,18157
Villa Lugano,126374,31160
Belgrano,126267,17714
Villa Urquiza,91563,14173
Barracas,89452,20211
Villa Crespo,81959,12090
Villa Devoto,66521,10126
Retiro,65413,12365
Mataderos,64436,11800
Parque Chacabuco,56281,9238
Villa del Parque,55273,8475
Parque Avellaneda,53229,11197
Colegiales,52551,7255
Núñez,51949,7654
Saavedra,50295,8264
San Cristóbal,48611,7761
Boedo,47306,7804
Villa Soldati,46779,13491
La Boca,45113,9630
Liniers,44132,7274
Constitución,44107,7333
Nueva Pompeya,42695,8255
Parque Patricios,40985,7651
Monserrat,39914,5236
Villa Pueyrredón,39654,6234
Floresta,37575,6536
Vélez Sársfield,35081,5738
Villa Gral. Mitre,34713,5973
Monte Castro,33623,5474
Villa Santa Rita,33325,5792
Villa Luro,32502,5381
San Nicolás,29273,2854
Chacarita,27761,4710
Villa Ortúzar,21736,3565
San Telmo,20453,2735
Paternal,19717,3443
Coghlan,18604,2858
Parque Chas,17489,2715
Villa Riachuelo,14084,2582
Agronomía,13912,2229
Versalles,13822,2339
Villa Real,13419,2163
Puerto Madero,6726,1208
